Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
Kepler-79,Kepler-79 b,227.5,12.9,1750295087.19,-1.22,0.015000,6.510585899999999e+23,2216252.0
Kepler-79,Kepler-79 c,295.8,12.3,2797480182.09,-0.52,0.030000,3.606447e+23,2373534.4
Kepler-79,Kepler-79 d,191.4,1.5,4293458889.0899997,-0.07,0.025000,3.606447e+23,4568338.8
Kepler-79,Kepler-79 e,180.0,1.9,5774477809.02,-0.87,0.012000,2.467569e+23,2223401.2
Kepler-34,Kepler-34 b,64.7,9.1,16300183991.471998,0.36,0.182000,4.175886e+24,5461988.8
Kepler-35,Kepler-35 b,223.6,6.8,9027782703.132898,0.76,0.042000,2.4106251e+24,5204617.6
Kepler-36,Kepler-36 b,191.5,6.4,1724863449.171,0.01,0.039000,2.6573820000000002e+23,950843.6000000001
Kepler-36,Kepler-36 c,336.8,13.7,1919340681.0809999,-0.02,0.033000,4.745325e+23,2344937.6
Kepler-38,Kepler-38 b,306.1,1.5,6929373370.824,-0.56,0.032000,7.2888192e+24,2745292.8000000003
Kepler-39,Kepler-39 b,299.9,3.0,2453405079.48,-0.93,0.112000,3.8152413000000004e+26,8865008.0
Kepler-40,Kepler-40 b,289.5,9.2,1196782965.6000001,-0.30,0.000000,4.175886e+25,8364563.999999999
Kepler-41,Kepler-41 b,67.0,4.0,463902997.0407,-7.49,0.000000,1.0629528e+25,9222468.0
Kepler-44,Kepler-44 b,201.1,10.4,667206503.322,-5.04,0.066000,1.89813e+25,7792628.000000001
Kepler-45,Kepler-45 b,191.2,9.7,448793612.09999996,-3.00,0.110000,9.5855565e+24,6863232.0
Kepler-46,Kepler-46 b,349.2,6.2,2944086095.376,-0.96,0.010000,1.138878e+26,5776553.600000001
Kepler-47,Kepler-47 b,101.2,4.1,4303930740.0390005,-0.25,0.021000,1.23568263e+23,1944582.4000000001
Kepler-47,Kepler-47 c,347.1,6.7,14418242778.066,0.19,0.044000,1.8924356099999998e+23,2966918.0
GJ 436,GJ 436 b,145.3,11.3,435329803.737,-3.56,0.138270,1.328691e+24,2659502.4
HAT-P-19,HAT-P-19 b,127.4,6.9,697126077.462,-1.80,0.067000,5.5425396e+24,8092894.399999999
HAT-P-20,HAT-P-20 b,304.0,9.3,540048313.227,-3.20,0.015000,1.375384998e+26,6198356.4
HAT-P-25,HAT-P-25 b,118.8,7.5,697126077.462,-1.78,0.023000,1.0800359699999999e+25,8114342.0
HAT-P-27,HAT-P-27 b,223.5,5.2,598391482.8000001,-5.00,0.000000,1.1768405999999999e+25,7292184.0
HAT-P-28,HAT-P-28 b,227.5,0.8,649254758.838,-2.00,0.051000,1.18822938e+25,8664830.4
HAT-P-32,HAT-P-32 b,104.0,13.6,508183966.7679,-1.02,0.159000,1.2907284e+25,14155416.0
HAT-P-34,HAT-P-34 b,290.1,14.3,1013375976.1218,-2.90,0.432000,6.3207729e+25,8557592.4
HAT-P-35,HAT-P-35 b,197.1,13.6,744698200.3446,-2.70,0.020000,2.00442528e+25,9522734.4
Kepler-117,Kepler-117 b,234.1,12.1,2161689231.615,-1.26,0.049300,1.7842422e+24,5140274.8
Kepler-117,Kepler-117 c,327.9,13.0,4194724294.428,-0.36,0.032300,3.4925592e+25,7871269.2
HAT-P-4,HAT-P-4 b,240.5,1.3,663915350.1666,-0.09,0.000000,1.2736452300000001e+25,9108080.8
HAT-P-9,HAT-P-9 b,2.1,4.7,790923942.3909,-3.56,0.084000,1.42169937e+25,9958835.6
HAT-P-12,HAT-P-12 b,16.6,2.8,574455823.4879999,-1.00,0.000000,4.0050543e+24,6856082.8
HAT-P-16,HAT-P-16 b,62.7,9.5,617839205.991,-3.40,0.036000,7.958859089999999e+25,9215318.799999999
HAT-P-18,HAT-P-18 b,275.4,6.3,836252097.2129999,-1.20,0.084000,3.7393161e+24,7113454.0
CoRoT-2,CoRoT-2 b,260.9,4.7,418574842.21860003,-1.92,0.014300,6.5865111000000006e+25,10480727.2
CoRoT-4,CoRoT-4 b,143.8,8.8,1346380836.3,0.00,0.000000,1.3666535999999999e+25,8507548.0
CoRoT-5,CoRoT-5 b,51.0,9.2,740060666.3529,-4.17,0.090000,8.864267100000001e+24,9923089.6
CoRoT-6,CoRoT-6 b,30.3,3.3,1279061794.4850001,-0.93,0.100000,5.6184648e+25,8335967.199999999
CoRoT-8,CoRoT-8 b,333.6,9.9,942466585.41,-1.60,0.000000,4.175886e+24,4075043.9999999995
CoRoT-9,CoRoT-9 b,82.9,4.9,6015330380.847,-0.10,0.133000,1.5944291999999999e+25,7621047.2
CoRoT-10,CoRoT-10 b,352.7,5.0,1578257535.885,-1.45,0.530000,5.2198575e+25,6934724.0
WASP-76,WASP-76 b,254.0,3.8,493672973.31,-2.00,0.000000,1.7462796e+25,13083036.0
WASP-90,WASP-90 b,6.8,6.8,840740033.334,-7.90,0.000000,1.1958219e+25,11653196.0
WASP-135,WASP-135 b,48.5,6.8,363522825.801,-8.00,0.000000,3.6064469999999997e+25,9293960.0
HATS-17,HATS-17 b,298.2,14.1,1956740148.756,-0.92,0.029000,2.53969794e+25,5554928.4
TRAPPIST-1,TRAPPIST-1 b,232.9,4.7,166203234.3477,-0.35,0.081000,5.0680071e+22,693472.4
TRAPPIST-1,TRAPPIST-1 c,245.5,13.7,227538361.3347,-0.33,0.083000,8.2378842e+22,672024.8
TRAPPIST-1,TRAPPIST-1 d,122.6,10.1,320737834.7808,-0.25,0.070000,2.4485876999999996e+22,493294.80000000005
KELT-4 A,KELT-4 A b,120.2,12.0,645814007.8119,-6.84,0.000000,1.71211326e+25,12146490.8
K2-31,K2-31 b,299.2,7.8,329115315.53999996,-10.10,0.000000,3.36728262e+25,7578152.0
WASP-119,WASP-119 b,246.3,7.6,543040270.641,-5.00,0.058000,2.3346998999999998e+25,10008880.0
WASP-124,WASP-124 b,31.6,8.5,671694439.4430001,-3.70,0.017000,1.1388779999999998e+25,8865008.0
WASP-129,WASP-129 b,29.7,3.5,939474627.9959999,-2.30,0.096000,1.89813e+25,6648756.0
WASP-133,WASP-133 b,205.1,9.4,516112653.915,-3.00,0.170000,2.2018307999999996e+25,8650532.0
HD 219134,HD 219134 b,88.5,10.3,579841346.8332001,-4.95,0.000000,2.83011183e+23,1022335.5999999999
HD 219134,HD 219134 c,234.4,4.9,976874095.671,-2.72,0.062000,2.60423436e+23,965142.0000000001
Kepler-539,Kepler-539 b,56.7,4.3,7461941790.516001,-0.16,0.390000,1.8411861e+25,5340452.4
Kepler-538,Kepler-538 b,284.9,11.3,6984724582.983,-0.27,0.041000,6.33026355e+23,1415541.6
Kepler-411,Kepler-411 c,99.0,14.7,1105528264.4729998,-1.39,0.108000,1.576586778e+24,2816784.8000000003
KELT-14,KELT-14 b,265.2,11.7,449541601.45350003,-11.70,0.000000,2.43719892e+25,12461055.600000001
HAT-P-50,HAT-P-50 b,250.5,9.3,677678354.271,-6.35,0.115000,2.5624755e+25,9208169.6
HAT-P-51,HAT-P-51 b,293.1,5.7,758311606.5783,-1.52,0.123000,5.8652217e+24,9243915.6
HAT-P-52,HAT-P-52 b,233.1,3.6,552614534.3658,-2.98,0.047000,1.5526703399999998e+25,7213542.799999999
HAT-P-53,HAT-P-53 b,37.3,2.3,472579673.5413,-3.80,0.134000,2.81682492e+25,9422645.6
HATS-13,HATS-13 b,257.1,7.6,606918561.4299,-1.45,0.181000,1.0306845900000001e+25,8664830.4
HATS-14,HATS-14 b,34.6,1.5,570715876.7205,-1.17,0.142000,2.03289723e+25,7428018.8
K2-29,K2-29 b,111.5,12.2,630854220.7419,-3.34,0.066000,1.3856348999999999e+25,8507548.0
Kepler-411,Kepler-411 b,342.6,3.6,560992015.125,-2.60,0.146000,1.5289437149999998e+24,1529928.8
Kepler-413,Kepler-413 b,52.4,13.8,5315212345.971,-0.07,0.118100,4.0050543e+24,2773889.6
Kepler-419,Kepler-419 b,264.6,4.5,5535121215.9,-1.05,0.833000,4.745325e+25,6863232.0
KOI-1257,KOI-1257 b,307.5,11.1,5714638660.74,-0.34,0.772000,2.7522884999999997e+25,6720248.0
Kepler-423,Kepler-423 b,14.5,2.7,536308366.4595,-2.17,0.019000,1.1293873499999998e+25,8521846.4
Kepler-425,Kepler-425 b,15.7,9.4,694134120.048,-2.98,0.330000,4.745325e+24,6991917.6
Kepler-426,Kepler-426 b,275.5,14.8,619335184.698,-4.26,0.180000,6.453642e+24,7792628.000000001
Kepler-427,Kepler-427 b,332.3,12.5,1361340623.37,-0.50,0.570000,5.504576999999999e+24,8793516.0
Kepler-428,Kepler-428 b,25.0,4.6,647758780.1309999,-0.64,0.220000,2.4106251e+25,7721136.000000001
Kepler-432,Kepler-432 b,30.1,0.2,4502895908.07,-1.83,0.513400,1.02688833e+26,8185834.0
Kepler-433,Kepler-433 b,316.3,5.4,1015769542.053,-0.79,0.119000,5.352726599999999e+25,10366340.0
Kepler-434,Kepler-434 b,167.1,8.1,1709903662.101,-3.54,0.131000,5.428651799999999e+25,8078595.999999999
Kepler-435,Kepler-435 b,90.3,1.9,1418187814.2359998,-4.49,0.114000,1.5944291999999999e+25,14226908.0
