Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HD 4113,HD 4113 b,94.3,0.6,19148527449.600002,,0.903000,2.9610828e+25,
HD 4203,HD 4203 b,340.2,10.0,17502950871.899998,,0.520000,4.2328299e+25,
HD 4203,HD 4203 c,332.7,7.1,103970520136.5,,0.240000,4.1189421e+25,
HD 4208,HD 4208 b,303.3,12.3,24863166110.34,,0.042000,1.5374853e+25,
HD 4308,HD 4308 b,266.6,11.5,1795174448.3999999,,0.000000,9.49065e+23,
HD 4313,HD 4313 b,356.6,13.7,17308473639.99,,0.147000,3.65769651e+25,
HD 4732,HD 4732 b,331.4,12.5,17802146613.3,,0.130000,4.4985681e+25,
HD 4732,HD 4732 c,345.5,6.5,68815020522.0,,0.230000,4.4985681e+25,
HD 5319,HD 5319 b,127.6,4.9,23486865699.9,,0.092000,2.95349028e+25,
HD 5319,HD 5319 c,25.0,4.5,28872389045.1,,0.183000,1.99873089e+25,
HD 5608,HD 5608 b,149.7,11.6,28588153090.77,,0.056000,3.19075653e+25,
HD 5891,HD 5891 b,217.0,11.0,9574263724.800001,,0.070000,1.4482731899999999e+26,
HD 6434,HD 6434 b,239.3,4.5,2094370189.8000002,,0.170000,9.300837e+24,
HD 6718,HD 6718 b,235.8,5.2,53107244098.5,,0.100000,3.1888583999999997e+25,
HD 7199,HD 7199 b,299.3,12.2,20345310415.2,,0.190000,5.124951e+24,
HD 7449,HD 7449 b,177.1,9.2,35604293226.6,,0.920000,9.6425004e+24,
HD 7924,HD 7924 b,265.8,14.1,897587224.1999999,,0.060000,3.79626e+23,
HD 7924,HD 7924 c,309.9,14.7,1696439853.738,,0.098000,4.69407549e+23,
HD 7924,HD 7924 d,283.9,2.8,2320262974.5569997,,0.210000,3.84561138e+23,
HD 8535,HD 8535 b,110.4,10.7,36651478321.5,,0.150000,1.2907284e+25,
HD 8574,HD 8574 b,137.2,5.6,11369438173.2,,0.300000,3.8532038999999996e+25,
HD 8673,HD 8673 b,270.6,0.6,45178556951.4,,0.723000,2.6953446e+26,
HD 9446,HD 9446 b,91.7,12.7,2827399756.23,,0.200000,1.3286909999999998e+25,
HD 9446,HD 9446 c,315.5,8.9,9783700743.78,,0.060000,3.4545966e+25,
HD 10180,HD 10180 c,161.6,8.4,959221546.9283999,,0.073000,7.896220799999999e+23,
HD 10180,HD 10180 d,328.8,8.4,1923679019.3313003,,0.131000,7.1749314e+23,
HD 10180,HD 10180 e,316.6,14.1,4037646530.1929994,,0.051000,1.52799465e+24,
HD 10180,HD 10180 f,345.7,7.3,7373679046.803,,0.119000,1.37044986e+24,
HD 10180,HD 10180 g,90.3,4.5,21347616148.89,,0.263000,1.38943116e+24,
HD 10180,HD 10180 h,182.2,15.0,50579040083.67,,0.095000,3.92153658e+24,
HD 10442,HD 10442 b,291.6,2.4,30069172010.699997,,0.132000,2.82251931e+25,
HD 10647,HD 10647 b,350.1,13.7,30143970946.050003,,0.150000,1.7842421999999998e+25,
HD 10697,HD 10697 b,243.0,4.5,32013944329.800003,,0.104300,1.211576379e+26,
HD 11506,HD 11506 b,121.7,10.2,43383382503.0,,0.374300,9.1679679e+25,
HD 11506,HD 11506 c,40.6,8.7,11578875192.18,,0.193000,7.7443704e+24,
HD 11977,HD 11977 b,319.3,5.4,28872389045.1,,0.400000,1.24137702e+26,
HD 11964,HD 11964 b,160.5,7.7,47272927141.200005,,0.041000,1.18063686e+25,
HD 11964,HD 11964 c,323.2,12.7,3425791239.03,,0.300000,1.49572644e+24,
HD 12661,HD 12661 b,230.4,13.4,12566221138.8,,0.380000,4.6124559e+25,
HD 12661,HD 12661 c,103.8,14.9,42104320708.515,,0.031000,3.43941156e+25,
HD 13189,HD 13189 b,60.3,8.3,18699733837.5,,0.270000,2.0784523499999997e+26,
HD 13908,HD 13908 b,281.4,4.2,2303807208.7799997,,0.020000,1.64188245e+25,
HD 13908,HD 13908 c,257.2,5.4,30368367752.1,,0.120000,9.7374069e+25,
HD 13931,HD 13931 b,118.5,6.3,77042903410.5,,0.020000,4.175886e+25,
HD 14067,HD 14067 b,313.8,8.8,50863276038.0,,0.533000,1.4805414e+26,
HD 16141,HD 16141 b,65.0,5.9,5385523345.2,,0.250000,4.935138e+24,
HD 16417,HD 16417 b,243.4,9.8,2094370189.8000002,,0.200000,1.32109848e+24,
HD 16175,HD 16175 b,39.0,5.7,31714748588.4,,0.600000,9.680463e+25,
HD 17092,HD 17092 b,11.1,13.8,19597321061.7,,0.170000,1.9228056900000002e+26,
HD 17156,HD 17156 b,26.6,3.5,,-2.18,0.680000,6.6624363e+25,7864120.000000001
HD 18742,HD 18742 b,228.8,2.8,27226812467.4,,0.040000,6.453642e+25,
HD 19994,HD 19994 b,2.1,7.8,19522522126.35,,0.063000,2.6004381e+25,
HD 20794,HD 20794 b,317.9,11.4,1805646299.349,0.00,0.000000,1.6134105e+23,
HD 20794,HD 20794 c,50.6,0.4,3045812647.452,0.00,0.000000,1.4425788e+23,
HD 20794,HD 20794 d,266.1,6.1,5234429495.793,0.00,0.000000,2.8471949999999998e+23,
HD 20782,HD 20782 b,314.4,10.9,20418613371.843,,0.950000,2.824037814e+25,
HD 20868,HD 20868 b,261.2,6.7,14211797716.5,,0.750000,2.3726625e+25,
HD 23127,HD 23127 b,243.6,10.4,35454695355.9,,0.406000,2.8984445099999997e+25,
HD 23079,HD 23079 b,252.0,7.2,23935659312.0,,0.100000,4.9541193e+25,
HD 22781,HD 22781 b,174.5,2.8,17458071510.690002,,0.819100,2.5909474500000002e+26,
HD 23596,HD 23596 b,212.9,8.5,41438610183.9,,0.270000,1.71401139e+26,
HD 24040,HD 24040 b,353.3,0.4,73602152384.4,,0.040000,7.3267818e+25,
HD 25171,HD 25171 b,257.7,3.0,44445527384.97,,0.042000,1.73678895e+25,
HD 27442,HD 27442 b,330.3,14.0,19013889365.969997,,0.060000,2.9610828e+25,
HD 27631,HD 27631 b,325.0,11.8,48499629680.94,,0.141000,2.83580622e+25,
HD 27894,HD 27894 b,206.2,13.7,1869973383.75,,0.047000,1.26225645e+25,
HD 28254,HD 28254 b,126.9,12.2,32163542200.5,,0.810000,2.2018307999999996e+25,
HD 28185,HD 28185 b,341.5,1.8,15258982811.4,,0.050000,1.1198967000000001e+26,
HD 28678,HD 28678 b,256.0,7.5,17652548742.6,,0.149000,2.92691646e+25,
HD 30177,HD 30177 b,342.0,3.4,55411051307.28001,,0.162000,1.636567686e+26,
HD 30562,HD 30562 b,146.4,13.7,35005901743.799995,,0.760000,2.3157185999999997e+25,
HD 30669,HD 30669 b,76.8,8.4,40241827218.299995,,0.180000,8.921210999999999e+24,
