Name,Distance,Temperature,Mass,Radius,Ecliptic Longitude,Ecliptic Latitude
7 CMa,6115857400000000.0,4826.0,2.6645498000000005e+28,338805900.0,101.741914,-42.322075
11 Com,2.88111809e+16,4742.0,5.368869000000001e+28,1321830000.0,177.422388,18.333765
11 UMi,3.87934204e+16,4213.0,5.5279466e+28,2072490300.0,141.647144,74.958184
14 And,2.33248063e+16,4813.0,4.374634000000001e+28,765270000.0,11.962116,38.229937
14 Her,5535745800000000.0,5338.0,1.7896230000000003e+28,64700100.0,223.248728,62.879798
16 Cyg B,6526255500000000.0,5750.0,2.1475476000000002e+28,78614100.0,321.21805,69.468372
18 Del,2.35685766e+16,4979.0,4.573481e+28,591345000.0,320.591213,26.786858
24 Sex,2.22818397e+16,5098.0,3.0622438000000003e+28,340893000.0,157.99359,-10.198148
30 Ari B,1.37961647e+16,6331.0,3.8377471e+28,98093700.0,44.567804,8.854811
42 Dra,2.80366702e+16,4200.0,1.9487006e+28,1532627100.0,342.26709,87.183386
HD 82886,3.93488464e+16,4953.0,5.0308291e+28,365938200.0,134.719195,19.332264
HD 83443,1.26359415e+16,5442.0,1.5708913000000003e+28,65395800.0,168.791827,-52.931205
HD 85512,3480669600000000.0,4300.0,8.550421000000001e+27,49394700.0,172.480545,-51.759613
HD 86081,3.21653368e+16,5939.0,2.4060487000000003e+28,101572200.0,152.531964,-15.379503
HD 86226,1.41139918e+16,5903.0,2.1077782e+28,70961400.0,161.157089,-34.122529
HD 86264,2.09642458e+16,6210.0,2.8236274e+28,130791600.0,157.499521,-26.547114
HD 87883,5646831000000000.0,4915.0,1.3123902000000002e+28,54960300.0,141.680987,21.272059
HD 88133,2.27632089e+16,5392.0,2.5054722000000004e+28,153054000.0,148.02572,6.4336
HD 89307,9886582800000000.0,5955.0,2.5253569000000003e+28,76527000.0,151.876292,1.94301
HD 92788,1.07042933e+16,5744.0,2.2867405e+28,79309800.0,163.028501,-9.574002
Kepler-28,1.369803944e+17,4590.0,1.4913525000000003e+28,48699000.0,307.773872,62.995164
Kepler-29,2.62870783e+17,5378.0,1.5112372e+28,50786100.0,321.812223,65.907876
Kepler-30,2.895404881e+17,5498.0,1.9685853000000001e+28,66091500.0,295.068563,61.063174
Kepler-31,5.392507606e+17,6340.0,2.4060487000000003e+28,84875400.0,313.552612,65.699443
Kepler-32,1.008561045e+17,3900.0,1.1533126000000001e+28,36872100.0,320.063641,65.246732
Kepler-33,3.865888388e+17,5904.0,2.5651263000000004e+28,126617400.0,305.685126,67.095931
GJ 179,3813925200000000.0,3370.0,7.158492e+27,26436600.0,72.440162,-15.933888
Kepler-186,5.307404e+16,3755.0,1.0737738000000001e+28,36176400.0,318.676215,62.636177
HD 95089,4.24160322e+16,4918.0,3.0622438000000003e+28,353415600.0,165.24005,-4.42973
HD 95127,2.128361575e+17,4218.0,7.357339000000001e+28,2853065700.0,147.262062,34.083813
HD 96063,4.33911134e+16,5020.0,2.7242039000000004e+28,330457500.0,168.270519,-7.765725
HD 96167,2.63858207e+16,5733.0,2.5253569000000003e+28,134965800.0,171.519445,-14.863616
HD 96127,1.843458894e+17,3943.0,2.17538618e+29,3555027000.0,148.176915,35.033944
HD 97658,6658940599999999.0,5175.0,1.7697383000000002e+28,51481800.0,159.207476,19.112175
HD 98219,3.5198579899999996e+16,4925.0,2.8037427e+28,320022000.0,180.517696,-26.063826
HD 98649,1.30278254e+16,5790.0,2.0481241e+28,70265700.0,180.855407,-25.075589
HD 99109,1.69343216e+16,5282.0,1.5112372e+28,68178600.0,172.402757,-4.944481
HD 99492,5619059700000000.0,4815.0,9.544656000000001e+27,57743100.0,171.185033,-0.531328
HD 99706,4.54245897e+16,4862.0,2.9031662000000003e+28,384026400.0,152.786799,36.70746
HD 100655,4.24962604e+16,4891.0,4.5337116e+28,699874200.0,165.997755,16.257542
HD 100777,1.5305072e+16,5533.0,1.6504301e+28,72352800.0,176.35369,-6.761972
HD 101930,9272528500000000.0,5108.0,1.1334279e+28,59830200.0,209.779883,-52.493607
HD 102117,1.22255434e+16,5655.0,2.1077782e+28,85571100.0,210.751952,-52.905216
HD 102195,9059615200000000.0,5301.0,1.5112372e+28,57047400.0,175.600117,1.168773
HIP 79431,4486607799999999.5,3368.0,8.351574000000001e+27,37567800.0,244.701158,2.238705
HIP 91258,1.41787915e+16,5519.0,1.9288159000000002e+28,61917300.0,313.853679,83.704915
HIP 97233,3.16531106e+16,5020.0,3.8377471e+28,371503800.0,298.298123,20.184503
HIP 116454,1.93041392e+16,5089.0,1.6106607000000002e+28,50090400.0,354.627489,2.809767
HR 810,5347518099999999.0,6167.0,2.6645498000000005e+28,78614100.0,8.235275,-61.014225
K2-3,1.388565e+16,3896.0,1.193082e+28,38959200.0,173.536772,-4.377773
KELT-1,8.084534e+16,6518.0,2.6247804000000003e+28,101572200.0,18.384497,35.465332
KELT-2 A,4.15242649e+16,6327.0,3.0622438000000003e+28,134270100.0,92.304186,7.539158
KELT-3,6.52162695e+16,6304.0,3.8974012e+28,118269000.0,136.308078,25.902111
KELT-6,7.47942823e+16,6102.0,2.8236274e+28,120356100.0,181.012667,34.181675
GJ 676 A,4946377100000000.0,3734.0,1.4515831000000001e+28,48003300.0,264.752044,-28.333379
GJ 687,1403993500000000.0,3340.0,8.948115000000001e+27,29915100.0,139.098969,87.126489
GJ 849,2715416000000000.0,3241.0,1.2925055000000001e+28,36872100.0,332.71949,6.277393
GJ 1214,4520550500000000.0,3026.0,2.982705e+27,15305400.0,257.383147,27.915249
GJ 3021,5418489200000000.0,5540.0,1.7896230000000003e+28,62613000.0,294.815071,-65.241399
GJ 3293,6233114000000000.0,3466.0,8.351574000000001e+27,27828000.0,59.472876,-46.21616
HD 102272,1.080025857e+17,4790.0,2.8832815e+28,716571000.0,171.200011,11.595112
HD 102329,6.73978594e+16,4745.0,6.3829887e+28,683177400.0,175.58651,1.874216
HD 102956,3.77442824e+16,4985.0,3.3008602e+28,316543500.0,146.464729,50.084793
HD 103197,1.76625468e+16,5250.0,1.5907760000000003e+28,61221600.0,204.262681,-45.538983
HD 103720,1.2836512e+16,5017.0,1.5708913000000003e+28,50786100.0,180.346288,-2.878971
HD 104067,6288656600000000.0,4937.0,1.2328514000000002e+28,51481800.0,188.207304,-18.691388
HD 104985,3.11223702e+16,4877.0,4.573481e+28,765270000.0,120.620305,63.597355
HD 106252,1.17966311e+16,5874.0,2.0083547e+28,76527000.0,179.055548,10.545743
HD 106270,2.90240942e+16,5509.0,2.7639733e+28,185056200.0,186.920307,-7.373487
HD 106515 A,1.05284084e+16,5362.0,1.9288159000000002e+28,112703400.0,186.353178,-5.158211
HD 108341,1.5243358e+16,5122.0,1.6703148000000001e+28,54960300.0,232.491865,-58.704075
HD 108863,5.10745064e+16,4878.0,3.1616673000000004e+28,399331800.0,177.734092,23.054909
TrES-2,6.68547762e+16,5850.0,2.7043192000000006e+28,77918400.0,304.832823,70.72952
HAT-P-7,1.062900222e+17,6389.0,3.1020132000000004e+28,139140000.0,312.86835,68.123927
HAT-P-11,1.16670317e+16,4780.0,1.6106607000000002e+28,47307600.0,321.548018,66.629453
Kepler-4,1.697135e+17,5857.0,2.4259334e+28,103659300.0,303.461403,71.764869
Kepler-5,2.849366237e+17,6297.0,2.7242039000000004e+28,124530300.0,319.818206,62.481556
